Date,GHI,PR
10/21/2020,3.001575,83.25306691
10/22/2020,5.948458333,82.907448
10/23/2020,5.029258333,60.71307876
10/24/2020,5.099741667,62.309339
10/25/2020,2.715316667,77.38291574
10/26/2020,5.14175,78.27408102
10/27/2020,3.935491667,69.67418695
10/28/2020,2.206325,80.49438618
10/29/2020,3.794083333,84.92437313
10/30/2020,4.33635,81.17184293
10/31/2020,3.985316667,77.81053225
11/1/2020,4.631875,66.21683521
11/2/2020,3.199641667,82.55276598
11/3/2020,5.397516667,84.68920224
11/4/2020,3.881266667,75.06431608
11/5/2020,5.158883333,74.90404968
11/6/2020,2.401275,62.56887417
11/7/2020,4.188108333,70.66678186
11/8/2020,4.948775,62.12552221
11/9/2020,3.40385,75.87799173
11/10/2020,3.473483333,70.46339039
11/11/2020,3.210316667,81.40364062
11/12/2020,4.436241667,60.88355471
11/13/2020,4.856416667,69.39930931
11/14/2020,5.4906,73.55679318
11/15/2020,4.450458333,84.10658453
11/16/2020,4.598091667,74.71188286
11/17/2020,5.437575,64.97284081
11/18/2020,3.887516667,69.81664739
11/19/2020,3.99265,62.28045255
11/20/2020,4.206191667,79.63375104
11/21/2020,3.515766667,64.55297305
11/22/2020,4.502883333,61.82516432
11/23/2020,3.430041667,62.58018588
11/24/2020,4.42425,61.50498092
11/25/2020,4.824158333,80.42356437
11/26/2020,4.384575,62.05539273
11/27/2020,4.1413,80.88446781
11/28/2020,4.05465,75.32861428
11/29/2020,2.462508333,63.04094468
11/30/2020,3.986191667,62.19627712
12/1/2020,3.422875,68.55667082
12/2/2020,4.100191667,66.13656954
12/3/2020,5.60325,76.05161584
12/4/2020,5.626008333,72.24697723
12/5/2020,5.074833333,77.03525004
12/6/2020,5.420141667,70.84967242
12/7/2020,3.066733333,82.58404325
12/8/2020,4.480466667,79.51818541
12/9/2020,3.3859,74.40351479
12/10/2020,3.428716667,81.67746184
12/11/2020,2.8102,75.57106335
12/12/2020,3.284166667,82.09009491
12/13/2020,2.810166667,75.25616007
12/14/2020,4.296166667,71.20318243
12/15/2020,4.15135,67.29291394
12/16/2020,4.663783333,79.91800065
12/17/2020,4.445075,80.04062009
12/18/2020,3.599541667,76.00328045
12/19/2020,3.687291667,78.98540616
12/20/2020,3.353266667,77.73573139
12/21/2020,4.921075,72.06306798
12/22/2020,2.876825,64.03572444
12/23/2020,3.4587,82.28081061
12/24/2020,4.203441667,83.62682548
12/25/2020,4.012741667,62.18401975
12/26/2020,4.949166667,80.77043024
12/27/2020,4.482958333,66.81759374
12/28/2020,4.528641667,60.11023343
12/29/2020,4.800583333,64.9488999
12/30/2020,2.427341667,77.60357917
12/31/2020,3.629525,63.36967939
1/1/2021,2.786683333,83.66641687
1/2/2021,3.874108333,61.51536333
1/3/2021,4.827366667,84.49778453
1/4/2021,4.065383333,78.41415728
1/5/2021,4.0429,80.18236383
1/6/2021,3.949783333,84.90721676
1/7/2021,4.947341667,75.79212097
1/8/2021,5.051108333,64.43049471
1/9/2021,5.2389,61.68552125
1/10/2021,4.8213,64.24337066
1/11/2021,4.975141667,73.86084303
1/12/2021,4.866616667,60.14697289
1/13/2021,5.033091667,82.0148182
1/14/2021,4.440375,82.79713506
1/15/2021,4.514583333,72.91756073
1/16/2021,4.349475,69.19325224
1/17/2021,4.833258333,81.63869705
1/18/2021,5.544341667,65.7849578
1/19/2021,3.88405,64.93065695
1/20/2021,3.496041667,61.89388664
1/21/2021,3.969733333,63.66000166
1/22/2021,3.324808333,60.2873887
1/23/2021,3.377008333,75.26188888
1/24/2021,3.681925,66.90631035
1/25/2021,4.29905,64.09811909
1/26/2021,4.239008333,66.81909322
1/27/2021,4.010408333,63.86066734
1/28/2021,4.213233333,69.44407808
1/29/2021,5.424616667,72.42513773
1/30/2021,4.741075,75.61305069
1/31/2021,4.604041667,66.36006131
2/1/2021,4.621641667,66.92499948
2/2/2021,5.495841667,78.79142175
2/3/2021,5.2928,72.96728368
2/4/2021,4.473416667,63.08690837
2/5/2021,4.504841667,80.02004886
2/6/2021,4.159225,62.85821532
2/7/2021,3.478141667,77.56261296
2/8/2021,3.205775,77.06022752
2/9/2021,5.045083333,68.22388346
2/10/2021,4.277683333,64.14147918
2/11/2021,2.390758333,63.86806783
2/12/2021,4.068308333,70.57074642
2/13/2021,5.202675,78.76293497
2/14/2021,4.364241667,72.81963177
2/15/2021,4.697391667,61.69717364
2/16/2021,5.241525,74.94631074
2/17/2021,5.940891667,75.83144148
2/18/2021,5.53465,65.74010327
2/19/2021,5.472708333,84.33412207
2/20/2021,6.008566667,76.00995922
2/21/2021,5.999541667,77.80130415
2/22/2021,5.196675,76.21568108
2/23/2021,5.446766667,81.55455971
2/24/2021,4.6578,66.57206215
2/25/2021,5.31395,79.1301965
2/26/2021,4.556158333,62.73319882
2/27/2021,3.493283333,71.44104176
2/28/2021,4.582141667,67.50866074
3/1/2021,5.4687,61.55919588
3/2/2021,4.935983333,65.85289818
3/3/2021,4.19625,82.27337522
3/4/2021,5.165466667,84.91011271
3/5/2021,6.486008333,64.10777168
3/6/2021,5.915858333,64.88061055
3/7/2021,5.639083333,75.19907414
3/8/2021,5.1473,69.31458217
3/9/2021,4.57085,72.33920476
3/10/2021,4.772283333,64.00159103
3/11/2021,5.075016667,76.61826401
3/12/2021,5.343283333,83.63222408
3/13/2021,5.711466667,80.61762338
3/14/2021,6.122858333,75.94527618
3/15/2021,5.025025,76.2216018
3/16/2021,4.547383333,70.78168553
3/17/2021,5.219116667,75.73683378
3/18/2021,4.648075,73.75455072
3/19/2021,4.957,73.13327469
3/20/2021,3.220425,73.46585282
3/21/2021,4.30625,61.18568999
3/22/2021,6.015591667,67.66042667
3/23/2021,6.209658333,80.58251206
